"","x"
"1",3396979.35553094
"2",3187460.51953604
"3",2928997.73334375
"4",2616756.15504741
"5",2283780.7775624
"6",1960061.47967883
"7",1656626.63112178
"8",1373547.82702211
"9",1119636.33150044
"10",899826.577941466
"11",647255.539748367
"12",433904.731084819
"13",257007.75788511
"14",127045.574279884
"15",55010.1712157366
"16",18586.8573834741
"17",9859.58028301833
"18",3428984.71834764
"19",3223077.78166867
"20",2966116.38185405
"21",2657693.85596478
"22",2320722.14318466
"23",1988027.31813325
"24",1680684.64118562
"25",1399097.82861798
"26",1145144.28796376
"27",927354.619741728
"28",688439.826440159
"29",493854.596887643
"30",313126.498616982
"31",174335.45651681
"32",84220.2254622901
"33",31170.2184357979
"34",15810.9853790269
"35",11540.9086800228
"36",3519.12444428054
"37",980.327324963366
"38",6744.04475586117
"39",11485.3548816921
"40",11797.0994019021
"41",9418.99830671318
"42",8148.07689579422
"43",7475.1945480207
"44",6256.36182469842
"45",2154.97277610653
"46",835.598277491231
"47",349.978697209648
"48",139.12329990057
"49",51.3726956729377
"50",15.3646276425881
"51",6.18279541101674
"52",11574.171277573
"53",3529.47510673684
"54",983.299886323984
"55",6545.29894720954
"56",13208.4118013479
"57",13810.0631071463
"58",10572.8758882137
"59",8582.91961614509
"60",7472.54082027348
"61",6172.05176305537
"62",2176.49422960675
"63",925.025047173176
"64",446.452564436569
"65",218.308116748245
"66",98.5713989552012
"67",35.0273892823616
"68",16.6060023095172
"69",4312.88576747022
"70",3654.99317128506
"71",2925.06434043464
"72",4559.45088219455
"73",6850.03324672466
"74",8281.12049076939
"75",8590.73243390845
"76",8617.29831346465
"77",8416.4993015011
"78",7704.70549842494
"79",5189.67300360436
"80",3205.79242586749
"81",1741.00206762388
"82",789.014213671221
"83",312.36949010117
"84",97.4611872622819
"85",44.6600347378773
"86",4349.19435226269
"87",3689.53041045307
"88",2954.70705317132
"89",4534.16807409505
"90",7528.12292156517
"91",9425.65028036956
"92",9749.45466267311
"93",9599.28812123723
"94",9125.16237995844
"95",8204.83014152941
"96",5641.71382606711
"97",3682.04794503692
"98",2118.69335566272
"99",1068.93835053523
"100",468.733074543473
"101",159.878032158752
"102",71.7949369708871
"103",5164.72876849353
"104",5300.1033319162
"105",4545.8687216205
"106",6305.20542619196
"107",9247.4766520974
"108",11486.2445133038
"109",12345.1429842083
"110",12588.5500701571
"111",12370.5352010925
"112",11412.3141060435
"113",7997.12284922548
"114",5021.51350868807
"115",2743.78036374121
"116",1246.49224205063
"117",494.04210058
"118",154.241882504267
"119",70.8069712216558
"120",5217.66085701399
"121",5353.97592720618
"122",4593.06013170636
"123",6294.1176421049
"124",10074.4019114098
"125",13012.2236133543
"126",14024.8715305823
"127",14097.1612762014
"128",13509.0579028228
"129",12229.6235202044
"130",8720.75916550545
"131",5773.36118380421
"132",3336.00821849758
"133",1684.17508693138
"134",738.04725231732
"135",251.51029011504
"136",112.801277954104
"137",20699.1580241802
"138",27404.8143735818
"139",26189.4260151352
"140",32308.7727923576
"141",45324.3671671916
"142",58015.5003223482
"143",65339.8306993315
"144",68372.5202138868
"145",67923.3276324794
"146",63302.4330791804
"147",46306.1166802473
"148",29789.4587187426
"149",16461.0912996797
"150",7517.14347763054
"151",2987.32252232508
"152",933.986623900724
"153",429.792470584366
"154",20975.3322970783
"155",27717.4143067362
"156",26474.1332975745
"157",32407.9868229217
"158",48799.3534325334
"159",65240.66664849
"160",74240.718365537
"161",77019.948846824
"162",74842.4048307299
"163",68410.9183539246
"164",50749.0168884652
"165",34332.6807148245
"166",20012.998582427
"167",10132.9816067988
"168",4442.06208451176
"169",1512.86232258727
"170",677.581456709458
